"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1127","Проверка работы кнопки возврата из корзины на страницу товаров","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","checkButtonContinueShopping"
"","1183","Проверка, что после добавления товара в корзину, она не пустая","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","cartIsNotEmptyAfterAddProduct"
"","887","Проверка удаления товара из корзины","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","removeProductFromCart"
"","572","Проверка негативных сценариев логина","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1657","Проверка локаторов","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LocatorTest","Firefox","tests.LocatorTest","checkLocator"
"","1545","Проверка добавления товара в корзину","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","addProductToCart"
"","853","Проверка цены товара в корзине","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","productPriceInCartIsCorrect"
"","581","Проверка негативных сценариев логина","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","1791","Проверка входа в систему с позитивными кредами","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","checkLoginWithPositiveCred"
"","549","Проверка негативных сценариев логина","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.LoginTest","Chrome","tests.LoginTest","negativeLogin"
"","906","Проверка работы кнопки перехода к оформлению товара из корзины ","Sauce Demo ITM5","2026-06-04","passed","2026-06-04","tests.CartTest","Firefox","tests.CartTest","checkButtonCheckout"
